sequence,track,event_type,count
02,333,id_switch,15
02,333,wrong_division_parent,1
02,338,fragmented_gt_track,1
02,338,id_switch,110
02,338,wrong_division_parent,1
02,34,fragmented_gt_track,1
02,34,id_switch,75
02,345,fragmented_gt_track,1
02,345,id_switch,31
02,345,wrong_division_parent,1
02,346,fragmented_gt_track,1
02,346,id_switch,41
02,346,wrong_division_parent,1
02,349,fragmented_gt_track,1
02,349,id_switch,52
02,350,fragmented_gt_track,1
02,350,id_switch,49
02,352,fragmented_gt_track,1
02,352,id_switch,13
02,353,fragmented_gt_track,1
02,353,id_switch,66
02,355,fragmented_gt_track,1
02,355,id_switch,28
02,356,fragmented_gt_track,1
02,356,id_switch,55
02,358,fragmented_gt_track,1
02,358,id_switch,17
02,358,wrong_division_parent,1
02,359,fragmented_gt_track,1
02,359,id_switch,23
02,359,wrong_division_parent,1
02,36,fragmented_gt_track,1
02,36,id_switch,85
02,363,division_missing_result_mapping,1
02,363,fragmented_gt_track,1
02,363,id_switch,1
02,364,division_missing_result_mapping,1
02,364,fragmented_gt_track,1
02,364,id_switch,23
02,367,fragmented_gt_track,1
02,367,id_switch,7
02,368,fragmented_gt_track,1
02,368,id_switch,54
02,370,fragmented_gt_track,1
02,370,id_switch,13
02,371,fragmented_gt_track,1
02,371,id_switch,13
02,375,fragmented_gt_track,1
02,375,id_switch,15
02,377,fragmented_gt_track,1
02,377,id_switch,15
02,379,fragmented_gt_track,1
02,379,id_switch,3
02,380,fragmented_gt_track,1
02,380,id_switch,39
02,381,fragmented_gt_track,1
02,381,id_switch,8
02,381,wrong_division_parent,1
02,382,fragmented_gt_track,1
02,382,id_switch,57
02,382,wrong_division_parent,1
02,384,fragmented_gt_track,1
02,384,id_switch,36
02,384,wrong_division_parent,1
02,386,fragmented_gt_track,1
02,386,id_switch,46
02,386,wrong_division_parent,1
02,387,fragmented_gt_track,1
02,387,id_switch,57
02,387,wrong_division_parent,1
02,389,fragmented_gt_track,1
02,389,id_switch,34
02,389,wrong_division_parent,1
02,391,fragmented_gt_track,1
02,391,id_switch,37
02,392,fragmented_gt_track,1
02,392,id_switch,18
02,394,fragmented_gt_track,1
02,394,id_switch,20
02,394,wrong_division_parent,1
02,395,fragmented_gt_track,1
02,395,id_switch,33
02,395,wrong_division_parent,1
02,397,fragmented_gt_track,1
02,397,id_switch,18
02,398,fragmented_gt_track,1
02,398,id_switch,17
02,399,fragmented_gt_track,1
02,399,id_switch,103
02,401,fragmented_gt_track,1
02,401,id_switch,25
02,402,fragmented_gt_track,1
02,402,id_switch,1
02,402,wrong_division_parent,1
02,404,fragmented_gt_track,1
02,404,id_switch,11
02,404,wrong_division_parent,1
02,406,fragmented_gt_track,1
02,406,id_switch,36
02,407,fragmented_gt_track,1
02,407,id_switch,47
02,411,fragmented_gt_track,1
02,411,id_switch,96
02,412,fragmented_gt_track,1
02,412,id_switch,42
02,413,fragmented_gt_track,1
02,413,id_switch,17
02,415,fragmented_gt_track,1
02,415,id_switch,53
02,418,fragmented_gt_track,1
02,418,id_switch,29
02,42,fragmented_gt_track,1
02,42,id_switch,46
02,432,fragmented_gt_track,1
02,432,id_switch,69
02,432,wrong_division_parent,1
02,433,fragmented_gt_track,1
02,433,id_switch,11
02,433,wrong_division_parent,1
02,44,fragmented_gt_track,1
02,44,id_switch,44
02,447,fragmented_gt_track,1
02,447,id_switch,15
02,448,fragmented_gt_track,1
02,448,id_switch,20
02,45,fragmented_gt_track,1
02,45,id_switch,249
02,450,fragmented_gt_track,1
02,450,id_switch,21
02,451,fragmented_gt_track,1
02,451,id_switch,22
02,453,fragmented_gt_track,1
02,453,id_switch,3
02,456,fragmented_gt_track,1
02,456,id_switch,14
02,456,wrong_division_parent,1
02,457,fragmented_gt_track,1
02,457,id_switch,7
02,457,wrong_division_parent,1
02,46,fragmented_gt_track,1
02,46,id_switch,25
02,460,fragmented_gt_track,1
02,460,id_switch,17
02,461,fragmented_gt_track,1
02,461,id_switch,35
02,462,fragmented_gt_track,1
02,462,id_switch,5
