sequence,frame,event_type,count
02,485,id_switch,1
02,486,id_switch,1
02,487,id_switch,1
02,488,id_switch,1
02,489,id_switch,1
02,490,id_switch,1
02,491,id_switch,1
02,492,id_switch,1
02,493,id_switch,1
02,494,id_switch,1
02,495,id_switch,1
02,496,id_switch,1
02,497,id_switch,1
02,498,id_switch,1
02,499,id_switch,1
02,500,id_switch,1
02,501,id_switch,1
02,502,id_switch,1
02,503,id_switch,1
02,504,id_switch,1
02,505,id_switch,1
02,506,id_switch,1
02,507,id_switch,1
02,508,id_switch,1
02,509,id_switch,1
02,510,id_switch,1
02,511,id_switch,1
02,512,id_switch,3
02,513,id_switch,2
02,514,id_switch,3
02,515,id_switch,2
02,516,id_switch,2
02,517,id_switch,2
02,518,id_switch,2
02,519,id_switch,2
02,520,id_switch,3
02,521,id_switch,2
02,522,id_switch,2
02,523,id_switch,2
02,524,id_switch,2
02,525,id_switch,2
02,526,id_switch,2
02,527,id_switch,2
02,528,id_switch,2
02,529,id_switch,2
02,530,id_switch,2
02,531,id_switch,2
02,532,id_switch,2
02,533,id_switch,2
02,534,id_switch,2
02,535,id_switch,2
02,536,id_switch,2
02,537,id_switch,2
02,538,id_switch,2
02,539,id_switch,2
02,540,id_switch,2
02,541,id_switch,2
02,542,id_switch,3
02,543,id_switch,2
02,544,id_switch,2
02,545,id_switch,2
02,546,id_switch,2
02,547,id_switch,2
02,548,id_switch,2
02,549,id_switch,2
02,550,id_switch,2
02,551,id_switch,2
02,552,id_switch,2
02,553,id_switch,2
02,554,id_switch,2
02,555,id_switch,2
02,556,id_switch,2
02,557,id_switch,2
02,558,id_switch,2
02,559,id_switch,2
02,560,id_switch,2
02,561,id_switch,2
02,562,id_switch,2
02,563,id_switch,2
02,564,id_switch,2
02,565,id_switch,2
02,566,id_switch,2
02,567,id_switch,2
02,568,id_switch,2
02,569,id_switch,2
02,570,id_switch,2
02,571,id_switch,2
02,572,id_switch,2
02,573,id_switch,2
02,574,id_switch,2
02,575,id_switch,2
02,576,id_switch,2
02,577,id_switch,2
02,578,id_switch,2
02,579,id_switch,2
02,580,id_switch,2
02,581,id_switch,2
02,582,id_switch,2
02,583,id_switch,2
02,584,id_switch,2
02,585,id_switch,2
02,586,id_switch,2
02,587,id_switch,2
02,588,id_switch,2
02,589,id_switch,2
02,590,id_switch,2
02,591,id_switch,2
02,592,id_switch,2
02,593,id_switch,2
02,594,id_switch,2
02,595,id_switch,2
02,596,id_switch,2
02,597,id_switch,2
02,598,id_switch,2
02,599,id_switch,2
02,600,id_switch,2
02,601,id_switch,2
02,602,id_switch,2
02,603,id_switch,2
02,604,id_switch,2
02,605,id_switch,2
02,606,id_switch,2
02,607,id_switch,2
02,608,id_switch,2
02,609,id_switch,2
02,610,id_switch,2
02,611,id_switch,2
02,612,id_switch,2
02,613,id_switch,2
02,614,id_switch,2
02,615,id_switch,2
02,616,id_switch,2
02,617,id_switch,2
02,618,id_switch,2
02,619,id_switch,2
02,620,id_switch,2
02,621,id_switch,2
02,622,id_switch,2
02,623,id_switch,2
02,624,id_switch,2
02,625,id_switch,2
02,626,id_switch,2
02,627,id_switch,2
02,628,id_switch,2
02,629,id_switch,2
02,630,id_switch,3
02,631,id_switch,2
02,632,fragmented_gt_track,2
02,632,id_switch,2
02,632,wrong_division_parent,2
02,633,id_switch,2
02,634,id_switch,2
02,635,id_switch,2
02,636,id_switch,2
02,637,id_switch,2
02,638,id_switch,2
02,639,id_switch,2
02,640,id_switch,2
02,641,id_switch,2
02,642,id_switch,2
02,643,id_switch,2
02,644,id_switch,2
02,645,id_switch,2
02,646,id_switch,2
02,647,id_switch,2
02,648,id_switch,2
02,649,id_switch,2
02,650,id_switch,2
02,651,id_switch,2
02,652,id_switch,2
